"%s was updated in your shopping cart.","Товар <strong>%s</strong> оновлено у кошику покупок."
"%s was successfully added to your shopping cart.","%s був успішно доданий до Вашого кошика."
"%s was added to your shopping cart.","%s був доданий (була додана) до Вашого кошика."
"Display Shopping Cart Sidebar","Відобразити бічне поле кошика"
"Display item quantities","Кількість товару"
"Display number of items in cart","Кількість найменувань товару"
"Easy access to your order history and status","Легкий доступ до історї Ваших замовлень та статусу"
"Edit","Редагувати"
"Edit Address","Редагувати адресу"
"Edit Billing Address","Редагувати адресу оплати"
"Edit Items","Редагувати товари"
"Edit Shipping Address","Редагувати адресу доставки"
"Edit Terms and Conditions","Редагувати умови та терміни"
"Edit Your Cart","Редагувати Ваш кошик"
"Email Address","Email адреса"
"Enable Terms and Conditions","Активувати умови та терміни"
"Enabled","Активовано"
"Enter a New Address","Ввести нову адресу"
"Enter your coupon code if you have one.","Якщо Ви маєте купон на знижку, введіть його код."
"Enter your destination to get a shipping estimate.","Вкажіть місце доставки для оцінки приблизної вартості доставки."
"Error while deleting this condition. Please try again later.","Помилка в процесі видалення цієї умови. Будь ласка, спробуйте пізніше."
"Error while saving this condition. Please try again later.","Помилка в процесі зберігання цієї умови. будь ласка, спробуйте пізніше."
"Estimate Shipping and Tax","Попередня оцінка вартості доставки та суми податку"
"Excl. Tax","Без податку"
"Fast and easy check out","Швидке та легке оформлення замовлення"
"Fax","Факс"
"Forgot an Item?","Забули товар?"
"Forgot your password?","Забули пароль?"
"Get a Quote","Отримати загальну вартість"
"Grand Total:","Загальна вартість:"
"Grouped product image","Зображення групового товару"
"HTML","HTML"
"ID","ID"
"Incl. Tax","З податком"
"Invalid data","Невірні дані"
"Invalid email address ""%s""","Невірна адреса email ""%s"""
"Invalid shipping method.","Невірний метод доставки."
"Items","Товарів"
"Load customer quote error","Помилка при завантажені загальної вартості замовлення клієнта"
"Loading next step...","Завантаження наступного кроку..."
"Login","Вхід в систему"
"Manage Checkout Terms and Conditions","Керувати термінами та умовами оформлення замовлення"
"Maximum display Recently added item(s)","Максимально відобразити останні додані товари"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальна кількість, дозволена для доставки по кількох адресах, становить %s"
"Move to Wishlist","Додати до списку бажаного"
"My Account","Мій обліковий запис"
"My Cart","Мій кошик"
"My Cart (%s item)","Мій кошик (%s шт.)"
"My Cart (%s items)","Мій кошик (%s шт.)"
"My Cart Link","Посилання на мій кошик"
"New Address","Нова адреса"
"New Condition","Нова умова"
"Order #","Замовлення №"
"Order Review","Перегляд замовлення"
"Order Success","Замовлення успішно подано"
"Other items in your order","Інші товари у Вашому замовленні"
"Password","Пароль"
"Payment Failed Email Reciever","Отримувач email-повідомлення про невдалу оплату"
"Payment Failed Email Sender","Відправник email-повідомлення про невдалу оплату"
"Payment Failed Emails","Email-повідомлення про невдалу оплату"
"Payment Failed Template","Шаблон невдалої оплати"
"Payment Information","Інформація про оплату"
"Payment Method","Спосіб оплати"
"Payment method is not defined","Спосіб оплати не визначений"
"Place Order","Оформити замовлення"
"Please <a href=""%s"">continue shopping</a>.","Будь-ласка, <a href=""%s"">поверніться до магазину</a>."
"Please agree to all Terms and Conditions before placing the order.","Будь ласка, погодьтесь з усіма термінами та умовами перед розміщенням замовлення."
"Please agree to all Terms and Conditions before placing the orders.","Будь ласка, погодьтесь з усіма термінами та умовами перед розміщенням замовлень."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Будь ласка, введіть вірний пошовий код. Наприклад 90602 або 90602-1234."
"Please log in below:","Будь ласка, авторизуйтесь в системі нижче:"
"Please select region, state or province","Будь ласка, виберіть регіон/область"
"Please select shipping address for applicable items","Будь ласка, оберіть адресу доставки для визначених товарів"
"Please select shipping methods for all addresses","Будь ласка, виберіть методи доставки для всіх адрес"
"Price","Ціна"
"Proceed to Checkout","Оформити замовлення"
"Product","Товар"
"Product Name","Назва товару"
"Product does not exist","Товару не існує"
"Qty","Кількість"
"Quote Lifetime (days)","Термін зберігання товару в кошику (днів)"
"Recently added item(s)","Нещодавно доданий товар"
"Register","Зареєструватись"
"Register and save time!","Зареєструйтесь і зекономте час!"
"Register to Create an Account","Зареєструйтесь для створення облікового запису"
"Register with us for future convenience:","Зареструйтесь зараз, щоб полегшити користування системою:"
"Remove","Видалити"
"Remove Item","Видалити товар"
"Remove Product","Видалити товар"
"Remove item","Видалити позицію"
"Review Order","Перегляд замовлення"
"Review Order - %s","Перегляд замовлення - %s"
"Sales","Продажі"
"Save Condition","Зберегти умову"
"Save in address book","Зберегти в адресній книзі"
"Select Address","Виберіть адресу"
"Select Addresses","Виберіть адреси"
"Select Shipping Method","Виберіть метод поставки "
"Select State/Province...","Виберіть регіон/область..."
"Select a billing address from your address book or enter a new address.","Виберіть адресу для оплати з Вашої адресної книжки або введіть нову."
"Select a shipping address from your address book or enter a new address.","Виберіть адресу для доставки з Вашої адресної книжки або введіть нову."
"Send Payment Failed Email Copy Method","Метод нпдсилання копії email-повідомлення про невдалу оплату"
"Send Payment Failed Email Copy To","Відіслати копію email-повідомлення про невдалу оплату"
"Send to","Надіслати"
"Ship to Multiple Addresses","Доставка по кількох адресах"
"Ship to different address","Доставка по різних адресах"
"Ship to this address","Доставка до вказаної адреси"
"Shipping Address","Адреса доставки"
"Shipping Information","Інформація по доставці"
"Shipping Method","Метод доставки"
"Shipping Methods","Методи доставки"
"Shipping method has not been selected yet","Метод доставки ще не вибраний"
"Shipping selection is not applicable","Неможливо застосувати адресу доставки"
"Shipping to","Доставка до"
"Shopping Cart","Кошик"
"Shopping Cart Sidebar","Бічне поле кошика"
"Shopping Cart is Empty","Кошик пустий"
"Show Content as","Показати вміст як"
"Some of the products you requested are not available in the desired quantity","Деякі продукти, що Ви замовили, на даний момент недоступні у необхідній кількості"
"Some of the products you requested are unavailable","Деякі продукти, що Ви замовили, на даний момент недоступні"
"Sorry, Onepage Checkout is disabled.","Вибачте, спрощене оформлення замовлення є неактивним."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Вибачте, анонімне оформлення замовлення є неактивним. Будь ласка, спробуйте ще раз або зв'яжіться з нами."
"Sorry, no quotes are available for this order at this time.","Вибачте, неможливо розрахувати вартість Вашого замовлення цього разу."
"State/Province","Регіон/Область"
"Status","Стан"
"Store View","Вигляд магазину"
"Street Address","Адреса: Вулиця"
"Street Address ","Адреса: Вулиця "
"Submitting order information...","Інформація про оформлення замовлення..."
"Subtotal","Всього"
"Telephone","Телефон"
"Terms and Conditions","Терміни та умови"
"Terms and Conditions Information","Інформація про умови та терміни"
"Terms and conditions","Терміни та умови"
"Text","Текст"
"Thank you for your purchase!","Дякуємо за покупку!"
"There are <a href=""%s"">%s items</a> in your cart.","У Вашому кошику <a href=""%s""><strong>%s товарів</strong></a> ."
"There is <a href=""%s"">1 item</a> in your cart.","У Вашому кошику <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","В системі вже існує зареєстрований клієнт з такою email адресою"
"There was an error processing your order. Please contact us or try again later.","Сталась помилка при обробці Вашого замовлення. Будь ласка, зв'яжіться з нами або спробуйте пізніше ще раз."
"This condition no longer exists","Цієї умови більше не існує"
"Total","Усього"
"Total for this address","Загальна сума замовлення для даної адреси"
"Unit Price","Ціна одиниці товару"
"Update Qty &amp; Addresses","Оновити кількість &amp; адрес"
"Update Shopping Cart","Перерахувати"
"Update Total","Оновити загальну суму замовлення"
"Use Billing Address","Використати адресу оплати"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Ми обробляємо Ваше замовлення і невдовзі Ви отримаєте email з деталями замовлення. Після відправки замовлення Ви отримаєте ще один email з посиланням для відслідковування його шляху."
"You have no items in your shopping cart.","Ваш кошик порожній."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Ви отримаєте email для підтвердження замовлення зі всією детальнішою інформацією та посиланням для відслідковування його шляху."
"Your Checkout Progress","Стадія оформлення замовлення"
"Your order # is: %s","Номер Вашого замовлення: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Ваше замовлення було прийнято"
"Your order number is ","Номер Вашого замовлення "
"Zip/Postal Code","Поштовий код"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Мій кошик"
"You have no items in your shopping cart.","Ваш кошик є порожнім."
"Checkout","Оплатити"
"Shopping Cart is Empty","Кошик є порожнім"
"Please <a href=""%s"">continue shopping</a>.","Будь ласка, <a href=""%s"">продовжуйте купувати</a>."
"Checkout Method","Метод оформлення замовлення"
